genotype_id,crop,site,season,rep,block,row,tree_position,evaluation_date,evaluator,fruit_weight_g,brix_content,skin_color_score,flesh_firmness_kg,disease_resistance_score,tree_vigor_score,yield_kg_per_tree,days_to_maturity,fruit_length_mm,fruit_width_mm
MNG-2018-0001,mango,Hoedspruit_A,2025-2026,1,B3,3,24,2026-03-11,TM_01,375.64,13.52,6.0,6.5,1.0,3.0,106.59,148.06,115.45,68.98
MNG-2018-0001,mango,Hoedspruit_A,2025-2026,2,B2,17,8,2026-02-13,TM_02,364.21,12.11,7.0,4.45,2.0,4.0,97.35,129.3,,65.77
MNG-2018-0001,mango,Hoedspruit_A,2025-2026,3,B4,2,19,2026-02-23,TM_03,371.64,15.02,7.0,3.38,2.0,3.0,89.54,135.47,105.56,75.81
MNG-2018-0002,mango,Hoedspruit_A,2025-2026,1,B4,14,18,2026-03-08,TM_02,365.86,16.29,5.0,6.35,4.0,5.0,102.87,132.55,127.08,92.14
MNG-2018-0002,mango,Hoedspruit_A,2025-2026,2,B1,9,10,2026-01-22,JN_01,383.26,17.46,6.0,6.54,7.0,4.0,100.25,126.37,,78.6
MNG-2018-0002,mango,Hoedspruit_A,2025-2026,3,B2,10,17,2026-02-20,TM_03,379.16,19.61,6.0,5.59,6.0,5.0,93.93,137.05,133.18,77.95
MNG-2018-0003,mango,Hoedspruit_A,2025-2026,1,B4,13,1,2026-02-11,TM_01,362.9,15.59,6.0,5.06,5.0,5.0,101.98,138.0,102.33,85.63
MNG-2018-0003,mango,Hoedspruit_A,2025-2026,2,B2,6,5,2026-01-16,TM_01,345.41,14.91,8.0,3.6,3.0,5.0,113.42,140.21,119.82,87.28
MNG-2018-0003,mango,Hoedspruit_A,2025-2026,3,B2,18,23,2026-03-09,JN_01,355.65,15.91,7.0,4.78,4.0,6.0,115.21,148.95,110.89,78.11
MNG-2018-0004,mango,Hoedspruit_A,2025-2026,1,B4,8,4,2026-02-07,TM_01,432.13,16.74,6.0,3.19,6.0,7.0,105.57,127.97,105.21,100.94
MNG-2018-0004,mango,Hoedspruit_A,2025-2026,2,B3,7,3,2026-03-05,TM_01,418.12,15.92,5.0,2.38,6.0,6.0,88.21,131.19,100.13,100.33
MNG-2018-0004,mango,Hoedspruit_A,2025-2026,3,B4,2,13,2026-02-12,TM_03,406.77,16.36,4.0,3.65,7.0,6.0,,134.27,95.58,81.92
MNG-2018-0005,mango,Hoedspruit_A,2025-2026,1,B4,3,4,2026-02-10,TM_03,397.52,17.07,5.0,5.26,6.0,6.0,103.8,139.26,122.08,75.79
MNG-2018-0005,mango,Hoedspruit_A,2025-2026,3,B4,10,23,2026-03-11,JN_01,345.52,-17.87,3.0,5.95,1.0,5.0,114.27,134.29,121.6,80.84
MNG-2018-0006,mango,Hoedspruit_A,2025-2026,1,B4,18,22,2026-02-01,TM_02,374.76,17.13,5.0,4.56,3.0,6.0,78.33,173.76,96.05,75.16
MNG-2018-0006,mango,Hoedspruit_A,2025-2026,3,B2,11,2,2026-02-19,TM_03,364.09,19.84,5.0,3.27,3.0,5.0,86.26,135.33,102.0,94.52
MNG-2018-0007,mango,Hoedspruit_A,2025-2026,1,B1,4,10,2026-01-26,TM_01,321.41,16.04,5.0,4.75,4.0,5.0,77.63,132.22,124.75,74.25
MNG-2018-0007,mango,Hoedspruit_A,2025-2026,2,B3,19,4,2026-01-22,JN_01,-251.21,12.91,6.0,5.2,6.0,6.0,,137.56,132.32,86.25
MNG-2018-0007,mango,Hoedspruit_A,2025-2026,3,B3,6,1,2026-01-21,TM_02,275.66,14.56,7.0,5.47,8.0,7.0,99.55,122.88,129.12,82.91
MNG-2018-0008,mango,Hoedspruit_A,2025-2026,1,B2,8,12,2026-02-07,TM_02,264.22,13.44,4.0,4.78,6.0,6.0,86.62,,114.72,77.43
MNG-2018-0008,mango,Hoedspruit_A,2025-2026,2,B4,12,13,2026-02-26,TM_01,360.48,14.02,5.0,6.81,5.0,5.0,87.45,136.63,116.22,82.21
MNG-2018-0008,mango,Hoedspruit_A,2025-2026,3,B1,15,10,2026-02-02,TM_03,303.96,15.29,5.0,5.99,5.0,6.0,89.46,147.02,125.63,82.28
MNG-2018-0009,mango,Hoedspruit_A,2025-2026,3,B4,16,23,2026-01-22,JN_01,340.65,14.3,6.0,4.11,3.0,7.0,88.71,133.07,97.01,87.42
MNG-2018-0010,mango,Hoedspruit_A,2025-2026,1,B4,4,5,2026-02-26,TM_02,401.71,16.44,4.0,2.97,,3.0,82.88,,115.67,69.0
MNG-2018-0010,mango,Hoedspruit_A,2025-2026,2,B3,19,7,2026-01-22,TM_01,365.83,16.52,3.0,5.24,2.0,4.0,71.54,113.6,111.42,75.09
MNG-2018-0010,mango,Hoedspruit_A,2025-2026,3,B3,13,16,2026-02-17,TM_02,379.75,17.01,5.0,4.4,4.0,4.0,60.96,123.04,130.75,79.8
MNG-2018-0011,mango,Hoedspruit_A,2025-2026,1,B1,16,25,2026-02-26,TM_01,375.55,17.52,6.0,6.15,2.0,,211.22,140.44,122.5,64.54
MNG-2018-0011,mango,Hoedspruit_A,2025-2026,2,B4,13,18,2026-03-07,JN_01,363.91,17.3,5.0,5.41,4.0,6.0,100.22,135.96,121.53,59.36
MNG-2018-0011,mango,Hoedspruit_A,2025-2026,3,B2,6,12,2026-01-21,TM_03,340.96,17.93,4.0,3.9,3.0,7.0,63.05,131.49,133.54,57.33
MNG-2018-0012,mango,Hoedspruit_A,2025-2026,1,B1,10,26,2026-02-26,JN_01,368.09,15.81,3.0,1.95,5.0,6.0,72.57,133.06,146.14,67.93
MNG-2018-0012,mango,Hoedspruit_A,2025-2026,2,B3,15,10,2026-01-29,TM_02,351.73,16.06,6.0,1.51,5.0,5.0,109.77,139.3,,68.22
MNG-2018-0012,mango,Hoedspruit_A,2025-2026,3,B2,3,4,2026-01-18,JN_01,415.05,17.56,5.0,2.67,6.0,6.0,86.02,153.88,140.27,79.63
MNG-2018-0013,mango,Hoedspruit_A,2025-2026,1,B1,18,21,2026-02-08,TM_02,318.84,17.2,4.0,6.63,5.0,5.0,107.31,120.4,109.0,64.77
MNG-2018-0013,mango,Hoedspruit_A,2025-2026,2,B1,9,24,2026-02-02,TM_02,337.0,16.31,5.0,6.63,6.0,7.0,,125.59,99.98,63.74
MNG-2018-0014,mango,Hoedspruit_A,2025-2026,1,B1,16,29,2026-03-14,TM_02,367.2,13.46,6.0,4.37,1.0,4.0,96.29,145.37,135.05,107.69
MNG-2018-0014,mango,Hoedspruit_A,2025-2026,2,B4,4,24,2026-03-13,TM_01,261.91,12.66,5.0,3.49,3.0,4.0,89.94,148.35,137.77,111.02
MNG-2018-0014,mango,Hoedspruit_A,2025-2026,3,B1,18,14,2026-01-29,TM_03,297.52,12.97,6.0,3.96,3.0,3.0,124.73,133.1,125.31,115.44
MNG-2018-0015,mango,Hoedspruit_A,2025-2026,1,B3,4,20,2026-02-03,JN_01,387.11,14.56,4.0,3.54,4.0,5.0,97.39,148.53,125.0,84.38
MNG-2018-0015,mango,Hoedspruit_A,2025-2026,2,B4,10,28,2026-03-11,TM_01,353.29,13.92,3.0,4.79,5.0,6.0,89.87,126.66,129.37,73.3
MNG-2018-0015,mango,Hoedspruit_A,2025-2026,3,B4,15,17,2026-03-12,TM_02,382.03,14.84,2.0,3.97,4.0,4.0,75.23,140.62,126.95,79.37
