genotype_id,crop,site,season,rep,block,row,tree_position,evaluation_date,evaluator,fruit_weight_g,brix_content,skin_color_score,flesh_firmness_kg,disease_resistance_score,tree_vigor_score,yield_kg_per_tree,days_to_maturity,fruit_length_mm,fruit_width_mm
MNG-2018-0001,mango,Hoedspruit_A,2023-2024,1,B1,7,11,2024-01-31,TM_01,361.9,14.68,6.0,4.31,1.0,3.0,81.75,144.84,92.67,73.33
MNG-2018-0001,mango,Hoedspruit_A,2023-2024,2,B3,5,6,2024-01-25,JN_01,325.0,14.46,6.0,4.49,2.0,4.0,77.02,142.68,110.87,65.83
MNG-2018-0001,mango,Hoedspruit_A,2023-2024,3,B2,19,13,2024-01-15,TM_03,361.69,1.33,7.0,6.86,1.0,3.0,79.09,134.81,113.37,80.94
MNG-2018-0002,mango,Hoedspruit_A,2023-2024,1,B2,3,6,2024-02-08,TM_01,424.13,18.14,5.0,5.65,4.0,5.0,103.48,109.74,131.8,80.38
MNG-2018-0002,mango,Hoedspruit_A,2023-2024,2,B1,14,29,2024-01-26,TM_02,390.38,18.86,6.0,6.1,5.0,5.0,70.57,134.51,114.38,86.65
MNG-2018-0002,mango,Hoedspruit_A,2023-2024,3,B2,10,23,2024-01-20,TM_03,350.22,18.13,6.0,4.99,7.0,4.0,99.85,127.25,124.6,76.71
MNG-2018-0003,mango,Hoedspruit_A,2023-2024,2,B2,14,4,2024-02-06,TM_03,289.47,14.98,7.0,4.78,4.0,6.0,75.87,153.4,111.96,83.76
MNG-2018-0003,mango,Hoedspruit_A,2023-2024,3,B2,14,11,2024-02-08,TM_01,342.87,15.05,6.0,3.81,5.0,5.0,100.19,136.14,109.97,78.0
MNG-2018-0004,mango,Hoedspruit_A,2023-2024,1,B2,9,25,2024-02-12,TM_03,429.38,17.69,4.0,4.45,4.0,7.0,83.34,129.85,82.82,85.62
MNG-2018-0004,mango,Hoedspruit_A,2023-2024,2,B2,8,19,2024-01-26,TM_02,442.97,15.99,3.0,3.27,7.0,6.0,94.38,135.31,90.62,86.85
MNG-2018-0004,mango,Hoedspruit_A,2023-2024,3,B1,10,17,2024-02-08,TM_03,434.2,15.4,4.0,3.31,7.0,6.0,71.42,133.07,88.96,
MNG-2018-0005,mango,Hoedspruit_A,2023-2024,1,B4,7,16,2024-02-19,TM_03,406.53,16.69,5.0,3.55,,4.0,101.82,150.88,102.94,71.37
MNG-2018-0005,mango,Hoedspruit_A,2023-2024,2,B3,18,13,2024-01-24,TM_01,,18.51,5.0,4.22,3.0,5.0,81.83,127.31,110.64,85.87
MNG-2018-0005,mango,Hoedspruit_A,2023-2024,3,B4,10,22,2024-02-19,TM_01,424.84,17.21,5.0,4.54,4.0,6.0,91.58,149.95,115.5,79.05
MNG-2018-0006,mango,Hoedspruit_A,2023-2024,2,B2,3,7,2024-01-27,TM_02,386.48,18.17,4.0,5.28,4.0,4.0,67.29,161.07,104.73,91.51
MNG-2018-0006,mango,Hoedspruit_A,2023-2024,3,B1,7,13,2024-02-28,JN_01,372.86,17.97,4.0,4.55,6.0,4.0,76.67,157.38,101.53,86.81
MNG-2018-0007,mango,Hoedspruit_A,2023-2024,1,B1,1,12,2024-02-16,TM_02,306.11,15.14,6.0,4.28,7.0,7.0,109.31,139.12,118.05,88.42
MNG-2018-0007,mango,Hoedspruit_A,2023-2024,2,B1,9,18,2024-03-01,TM_02,300.95,14.72,6.0,5.42,6.0,6.0,73.88,138.19,123.92,82.8
MNG-2018-0007,mango,Hoedspruit_A,2023-2024,3,B4,19,13,2024-01-15,JN_01,244.82,15.85,5.0,5.69,6.0,6.0,84.3,127.98,124.42,80.62
MNG-2018-0008,mango,Hoedspruit_A,2023-2024,1,B4,10,29,2024-01-15,TM_03,295.18,14.85,4.0,4.67,6.0,6.0,60.55,144.56,113.43,84.71
MNG-2018-0008,mango,Hoedspruit_A,2023-2024,2,B4,3,17,2024-03-05,JN_01,285.51,13.46,5.0,5.65,7.0,5.0,71.99,146.29,111.39,65.77
MNG-2018-0008,mango,Hoedspruit_A,2023-2024,3,B2,14,16,2024-01-29,JN_01,306.24,14.24,5.0,6.03,4.0,6.0,74.57,135.55,120.59,78.57
MNG-2018-0009,mango,Hoedspruit_A,2023-2024,1,B3,14,9,2024-03-01,TM_01,347.17,14.57,4.0,4.32,,7.0,80.71,130.69,125.89,79.76
MNG-2018-0009,mango,Hoedspruit_A,2023-2024,2,B2,6,6,2024-01-23,TM_01,327.11,14.39,5.0,5.44,4.0,6.0,80.98,127.51,126.83,90.03
