genotype_id,crop,site,season,rep,block,row,tree_position,evaluation_date,evaluator,fruit_weight_g,brix_content,acidity_percent,juice_content_ml,rind_thickness_mm,seed_count,yield_kg_per_tree,days_to_maturity
CIT-2018-0001,citrus,Hoedspruit_A,2025-2026,1,B1,6,18,2026-05-09,TM_01,152.73,12.06,1.21,115.67,6.25,13.0,113.41,236.32
CIT-2018-0001,citrus,Hoedspruit_A,2025-2026,2,B3,8,1,2026-05-15,TM_01,175.31,11.38,1.13,84.64,4.28,13.0,92.25,219.8
CIT-2018-0001,citrus,Hoedspruit_A,2025-2026,3,B2,9,2,2026-05-02,TM_02,157.06,,0.92,71.28,4.5,8.0,137.01,233.54
CIT-2018-0002,citrus,Hoedspruit_A,2025-2026,1,B3,4,11,2026-05-11,TM_02,168.75,10.42,1.53,59.01,6.0,6.0,157.41,265.07
CIT-2018-0002,citrus,Hoedspruit_A,2025-2026,2,B2,8,5,2026-05-16,TM_02,168.28,10.57,0.93,93.69,4.59,8.0,167.86,221.84
CIT-2018-0002,citrus,Hoedspruit_A,2025-2026,3,B2,9,11,2026-05-10,TM_01,167.42,11.69,1.35,84.43,4.07,8.0,145.18,222.19
CIT-2018-0003,citrus,Hoedspruit_A,2025-2026,1,B3,10,19,2026-06-04,KM_01,180.36,10.65,0.63,101.71,4.01,14.0,113.12,258.76
CIT-2018-0003,citrus,Hoedspruit_A,2025-2026,2,B3,5,24,2026-05-31,KM_01,182.24,11.84,0.75,66.39,5.22,12.0,129.52,233.54
CIT-2018-0003,citrus,Hoedspruit_A,2025-2026,3,B1,1,10,2026-05-25,TM_02,214.73,9.3,1.0,89.33,5.07,6.0,152.6,231.18
CIT-2018-0004,citrus,Hoedspruit_A,2025-2026,1,B2,6,9,2026-05-03,KM_01,183.05,10.21,1.32,79.64,4.15,8.0,109.18,227.54
CIT-2018-0004,citrus,Hoedspruit_A,2025-2026,2,B3,14,14,2026-05-23,KM_01,151.4,10.95,1.42,90.93,5.84,5.0,101.06,224.23
CIT-2018-0004,citrus,Hoedspruit_A,2025-2026,3,B1,7,14,2026-06-06,TM_02,209.37,11.77,1.23,92.02,4.51,10.0,128.65,214.78
CIT-2018-0005,citrus,Hoedspruit_A,2025-2026,1,B1,1,19,2026-05-03,TM_01,230.97,7.51,,86.05,4.59,,123.24,241.5
CIT-2018-0005,citrus,Hoedspruit_A,2025-2026,2,B3,6,7,2026-05-25,TM_01,214.75,8.02,1.16,99.47,4.67,14.0,123.48,231.8
CIT-2018-0005,citrus,Hoedspruit_A,2025-2026,3,B2,9,23,2026-05-01,KM_01,157.86,10.91,1.12,70.96,4.51,7.0,144.13,
CIT-2018-0006,citrus,Hoedspruit_A,2025-2026,1,B2,14,15,2026-06-10,TM_01,203.61,11.13,1.42,81.96,3.95,4.0,110.34,222.32
CIT-2018-0006,citrus,Hoedspruit_A,2025-2026,2,B2,10,5,2026-06-09,KM_01,174.46,11.2,1.48,89.52,5.14,2.0,89.82,236.15
CIT-2018-0006,citrus,Hoedspruit_A,2025-2026,3,B3,7,11,2026-06-11,TM_01,162.2,12.07,1.42,97.82,3.39,7.0,116.71,213.59
CIT-2018-0007,citrus,Hoedspruit_A,2025-2026,2,B1,4,18,2026-05-26,TM_02,241.06,10.06,1.26,97.58,4.15,9.0,106.9,222.46
CIT-2018-0007,citrus,Hoedspruit_A,2025-2026,3,B1,4,24,2026-05-04,KM_01,185.71,12.38,1.27,94.19,4.11,8.0,110.56,235.54
CIT-2018-0008,citrus,Hoedspruit_A,2025-2026,1,B3,14,18,2026-05-16,KM_01,174.96,8.99,1.19,81.36,4.35,9.0,103.99,257.37
CIT-2018-0008,citrus,Hoedspruit_A,2025-2026,2,B2,11,6,2026-05-22,TM_01,178.86,11.08,1.86,88.58,5.48,9.0,103.61,244.59
CIT-2018-0008,citrus,Hoedspruit_A,2025-2026,3,B1,1,4,2026-05-30,TM_01,174.35,9.77,1.05,98.5,2.7,5.0,119.89,239.2
CIT-2018-0009,citrus,Hoedspruit_A,2025-2026,1,B2,9,23,2026-05-15,KM_01,169.04,12.59,1.51,65.6,5.36,7.0,132.54,259.76
CIT-2018-0009,citrus,Hoedspruit_A,2025-2026,2,B1,2,11,2026-05-25,KM_01,192.18,14.51,1.32,66.68,4.27,13.0,134.13,242.41
CIT-2018-0009,citrus,Hoedspruit_A,2025-2026,3,B1,2,22,2026-05-01,TM_01,140.76,12.52,1.7,85.46,4.33,9.0,102.62,262.91
CIT-2018-0010,citrus,Hoedspruit_A,2025-2026,1,B2,9,15,2026-05-05,TM_01,201.0,13.22,1.49,67.74,3.76,9.0,145.63,233.49
CIT-2018-0010,citrus,Hoedspruit_A,2025-2026,2,B3,11,5,2026-06-09,TM_02,155.1,13.08,1.66,84.05,3.31,3.0,126.31,223.69
CIT-2018-0010,citrus,Hoedspruit_A,2025-2026,3,B2,3,10,2026-05-19,TM_02,198.43,13.24,1.54,87.87,4.36,4.0,126.23,214.16
CIT-2018-0011,citrus,Hoedspruit_A,2025-2026,2,B2,1,11,2026-05-23,KM_01,174.01,11.32,1.51,76.97,5.11,12.0,141.29,228.05
CIT-2018-0011,citrus,Hoedspruit_A,2025-2026,3,B2,9,19,2026-06-08,TM_02,181.6,12.9,0.93,93.46,3.38,8.0,104.45,237.66
CIT-2018-0012,citrus,Hoedspruit_A,2025-2026,1,B1,8,9,2026-06-03,TM_01,173.83,11.08,0.82,88.15,4.39,7.0,121.3,242.99
CIT-2018-0012,citrus,Hoedspruit_A,2025-2026,2,B2,2,22,2026-05-15,TM_01,189.67,11.95,1.37,87.26,5.21,7.0,138.61,229.62
CIT-2018-0012,citrus,Hoedspruit_A,2025-2026,3,B1,14,19,2026-05-28,TM_02,188.87,10.76,1.63,110.38,5.01,7.0,137.06,215.62
CIT-2018-0013,citrus,Hoedspruit_A,2025-2026,1,B1,4,23,2026-06-13,KM_01,177.38,9.7,1.3,75.15,5.56,17.0,148.43,206.63
CIT-2018-0013,citrus,Hoedspruit_A,2025-2026,2,B3,14,22,2026-05-25,TM_02,180.21,11.63,0.84,91.04,3.15,14.0,106.64,235.97
CIT-2018-0013,citrus,Hoedspruit_A,2025-2026,3,B3,7,21,2026-06-10,TM_01,208.44,7.97,1.52,85.56,4.94,11.0,106.61,225.15
CIT-2018-0014,citrus,Hoedspruit_A,2025-2026,1,B1,1,14,2026-05-09,TM_01,183.48,11.42,0.83,96.38,5.73,18.0,116.49,225.15
CIT-2018-0014,citrus,Hoedspruit_A,2025-2026,2,B1,13,8,2026-05-16,TM_01,188.64,12.94,0.78,110.33,5.28,10.0,179.94,224.65
CIT-2018-0014,citrus,Hoedspruit_A,2025-2026,3,B3,10,12,2026-05-17,KM_01,175.75,10.32,0.84,117.09,6.51,11.0,145.76,216.13
CIT-2018-0015,citrus,Hoedspruit_A,2025-2026,1,B3,11,3,2026-06-11,KM_01,168.59,9.02,1.09,100.44,2.71,6.0,128.95,254.39
CIT-2018-0015,citrus,Hoedspruit_A,2025-2026,2,B2,14,7,2026-05-14,TM_01,164.4,10.63,1.19,76.29,4.5,7.0,94.88,245.72
CIT-2018-0015,citrus,Hoedspruit_A,2025-2026,3,B3,10,16,2026-05-15,TM_02,141.66,6.13,0.68,95.7,6.87,1.0,140.46,231.56
CIT-2018-0016,citrus,Hoedspruit_A,2025-2026,1,B3,5,13,2026-05-25,KM_01,195.4,12.36,1.08,85.48,4.12,12.0,110.79,220.52
CIT-2018-0016,citrus,Hoedspruit_A,2025-2026,2,B1,1,1,2026-05-01,TM_02,183.63,12.22,1.12,61.91,4.6,11.0,98.32,242.09
CIT-2018-0016,citrus,Hoedspruit_A,2025-2026,3,B3,11,1,2026-05-28,KM_01,191.48,10.26,1.92,,4.43,9.0,122.21,251.95
CIT-2018-0017,citrus,Hoedspruit_A,2025-2026,1,B3,1,4,2026-06-02,KM_01,218.91,10.96,,92.29,4.75,10.0,131.05,250.62
CIT-2018-0017,citrus,Hoedspruit_A,2025-2026,3,B2,11,17,2026-05-05,KM_01,185.9,11.87,1.27,87.5,3.72,7.0,128.39,265.53
CIT-2019-0001,citrus,Hoedspruit_A,2025-2026,1,B2,10,10,2026-06-08,KM_01,168.01,11.89,1.92,76.92,5.32,9.0,98.76,249.78
CIT-2019-0001,citrus,Hoedspruit_A,2025-2026,2,B2,4,24,2026-05-14,KM_01,157.48,13.37,0.87,92.11,4.16,13.0,12.69,255.9
CIT-2019-0001,citrus,Hoedspruit_A,2025-2026,3,B1,14,6,2026-05-04,KM_01,208.32,9.96,0.87,87.6,4.28,12.0,119.42,230.54
CIT-2019-0002,citrus,Hoedspruit_A,2025-2026,1,B2,13,12,2026-05-31,TM_02,219.31,11.16,2.47,107.14,5.44,3.0,138.9,209.09
CIT-2019-0002,citrus,Hoedspruit_A,2025-2026,2,B2,13,1,2026-05-05,TM_01,192.08,12.0,1.44,89.28,4.75,10.0,128.45,538.3
CIT-2019-0002,citrus,Hoedspruit_A,2025-2026,3,B3,12,7,2026-05-17,KM_01,200.41,12.83,0.91,72.21,4.98,4.0,123.36,252.36
CIT-2019-0003,citrus,Hoedspruit_A,2025-2026,1,B3,10,21,2026-05-27,KM_01,183.12,11.45,0.82,72.7,4.35,8.0,140.55,247.96
CIT-2019-0003,citrus,Hoedspruit_A,2025-2026,2,B3,7,21,2026-06-09,KM_01,172.86,13.51,1.33,72.09,4.74,9.0,297.39,233.51
CIT-2019-0003,citrus,Hoedspruit_A,2025-2026,3,B1,9,13,2026-05-19,TM_02,187.57,13.66,1.62,59.21,5.47,7.0,129.66,231.42
CIT-2019-0004,citrus,Hoedspruit_A,2025-2026,1,B2,6,20,2026-05-21,TM_02,161.98,10.04,1.13,85.03,4.69,8.0,111.75,254.93
CIT-2019-0004,citrus,Hoedspruit_A,2025-2026,2,B2,11,4,2026-05-07,TM_02,183.46,11.89,1.34,80.49,5.62,6.0,152.38,231.88
CIT-2019-0004,citrus,Hoedspruit_A,2025-2026,3,B1,10,17,2026-05-06,TM_02,172.62,8.39,0.64,80.21,4.87,15.0,136.58,215.96
CIT-2019-0005,citrus,Hoedspruit_A,2025-2026,2,B3,3,13,2026-06-11,KM_01,131.67,10.88,1.24,81.08,4.01,8.0,161.76,235.44
CIT-2019-0005,citrus,Hoedspruit_A,2025-2026,3,B2,14,23,2026-05-10,TM_02,161.96,10.6,1.39,68.81,3.34,8.0,133.68,251.23
CIT-2019-0006,citrus,Hoedspruit_A,2025-2026,1,B1,2,1,2026-05-12,TM_02,156.79,10.97,0.9,109.27,3.64,7.0,92.34,249.72
CIT-2019-0006,citrus,Hoedspruit_A,2025-2026,2,B3,5,3,2026-06-11,TM_01,163.07,12.37,1.64,93.72,3.64,8.0,117.58,245.38
CIT-2019-0007,citrus,Hoedspruit_A,2025-2026,1,B3,7,6,2026-05-08,KM_01,159.68,10.77,1.24,73.05,4.69,17.0,94.08,244.35
CIT-2019-0007,citrus,Hoedspruit_A,2025-2026,2,B3,1,22,2026-05-22,TM_02,162.38,9.33,0.97,95.79,5.7,13.0,147.7,251.04
CIT-2019-0007,citrus,Hoedspruit_A,2025-2026,3,B2,7,20,2026-06-11,TM_01,154.94,9.76,0.87,83.68,4.08,9.0,132.87,230.89
CIT-2019-0008,citrus,Hoedspruit_A,2025-2026,1,B2,7,7,2026-05-29,KM_01,184.2,11.68,0.83,104.28,3.33,8.0,121.76,232.7
CIT-2019-0008,citrus,Hoedspruit_A,2025-2026,2,B3,2,16,2026-06-13,TM_01,199.71,10.29,1.03,90.27,4.75,6.0,144.91,205.86
CIT-2019-0008,citrus,Hoedspruit_A,2025-2026,3,B3,14,21,2026-05-14,TM_02,167.46,11.85,1.31,67.53,4.36,3.0,104.11,224.79
CIT-2019-0009,citrus,Hoedspruit_A,2025-2026,1,B2,3,4,2026-06-01,TM_01,175.3,13.69,0.96,98.72,6.04,8.0,107.59,246.67
CIT-2019-0009,citrus,Hoedspruit_A,2025-2026,2,B2,13,15,2026-05-01,TM_02,147.28,9.38,0.71,118.89,3.94,10.0,98.45,220.8
CIT-2019-0009,citrus,Hoedspruit_A,2025-2026,3,B1,8,24,2026-05-26,TM_01,173.22,12.51,1.58,99.04,4.36,9.0,151.9,207.31
CIT-2019-0010,citrus,Hoedspruit_A,2025-2026,1,B3,5,14,2026-05-17,TM_01,122.21,10.62,1.05,87.45,,3.0,116.65,257.9
CIT-2019-0010,citrus,Hoedspruit_A,2025-2026,2,B3,13,15,2026-05-14,KM_01,162.44,11.26,1.99,77.04,3.35,5.0,159.09,263.36
CIT-2019-0010,citrus,Hoedspruit_A,2025-2026,3,B1,11,15,2026-05-23,TM_02,159.69,13.4,0.89,84.17,3.34,12.0,134.22,218.27
CIT-2019-0011,citrus,Hoedspruit_A,2025-2026,2,B2,11,16,2026-05-07,TM_02,149.63,11.19,0.77,65.75,4.97,6.0,109.25,235.52
CIT-2019-0011,citrus,Hoedspruit_A,2025-2026,3,B2,1,12,2026-06-05,KM_01,194.69,9.71,1.17,56.64,4.99,3.0,76.57,264.21
CIT-2019-0012,citrus,Hoedspruit_A,2025-2026,1,B2,11,19,2026-05-20,TM_02,218.54,8.46,0.77,89.33,5.44,6.0,96.45,196.18
CIT-2019-0012,citrus,Hoedspruit_A,2025-2026,2,B3,7,17,2026-05-01,KM_01,199.63,11.9,1.34,62.52,4.49,8.0,115.6,183.89
CIT-2019-0012,citrus,Hoedspruit_A,2025-2026,3,B2,10,21,2026-05-21,TM_02,209.22,11.68,0.64,83.62,4.17,15.0,136.11,234.64
CIT-2019-0013,citrus,Hoedspruit_A,2025-2026,1,B3,2,1,2026-05-01,TM_02,170.64,11.28,1.53,95.16,5.92,6.0,155.55,213.21
CIT-2019-0013,citrus,Hoedspruit_A,2025-2026,2,B2,1,16,2026-05-13,TM_02,156.07,11.16,1.64,83.1,4.27,3.0,138.57,223.49
CIT-2019-0013,citrus,Hoedspruit_A,2025-2026,3,B2,9,11,2026-05-22,TM_02,162.07,11.08,1.41,97.86,4.61,10.0,114.86,237.55
CIT-2019-0014,citrus,Hoedspruit_A,2025-2026,1,B1,13,22,2026-05-06,TM_02,181.83,15.84,1.59,93.61,5.26,7.0,73.63,229.15
CIT-2019-0014,citrus,Hoedspruit_A,2025-2026,2,B1,14,24,2026-06-03,TM_02,172.93,12.38,1.01,92.34,5.95,4.0,114.87,257.23
CIT-2019-0014,citrus,Hoedspruit_A,2025-2026,3,B1,7,19,2026-06-03,TM_02,164.7,11.67,1.47,92.62,,4.0,83.9,284.16
CIT-2019-0015,citrus,Hoedspruit_A,2025-2026,1,B1,6,6,2026-05-17,TM_02,179.65,11.75,1.0,52.36,4.51,13.0,111.13,215.29
CIT-2019-0015,citrus,Hoedspruit_A,2025-2026,2,B3,12,5,2026-06-01,TM_02,180.1,11.31,1.26,70.93,4.82,10.0,143.16,231.05
CIT-2019-0015,citrus,Hoedspruit_A,2025-2026,3,B2,3,3,2026-05-18,KM_01,214.17,14.6,0.82,70.16,4.79,11.0,135.83,245.72
CIT-2019-0016,citrus,Hoedspruit_A,2025-2026,1,B1,13,19,2026-05-12,KM_01,194.06,9.35,0.37,76.07,4.14,0.0,145.73,241.49
CIT-2019-0016,citrus,Hoedspruit_A,2025-2026,2,B2,4,13,2026-05-15,TM_01,,9.41,1.03,84.09,5.16,2.0,162.64,252.41
CIT-2019-0016,citrus,Hoedspruit_A,2025-2026,3,B3,7,3,2026-05-28,TM_02,178.55,10.35,0.55,70.88,4.73,8.0,117.29,213.35
CIT-2019-0017,citrus,Hoedspruit_A,2025-2026,1,B1,14,16,2026-05-13,TM_02,176.82,11.81,1.33,74.62,5.31,5.0,133.18,264.34
CIT-2019-0017,citrus,Hoedspruit_A,2025-2026,2,B1,2,17,2026-05-26,TM_01,158.61,11.83,0.7,90.89,4.39,6.0,121.05,245.44
CIT-2019-0017,citrus,Hoedspruit_A,2025-2026,3,B3,4,15,2026-06-09,TM_02,176.92,13.02,0.97,70.45,3.27,5.0,143.91,231.11
CIT-2020-0001,citrus,Hoedspruit_A,2025-2026,1,B1,10,22,2026-06-10,TM_01,152.52,13.21,0.84,93.75,4.19,5.0,142.7,237.7
CIT-2020-0001,citrus,Hoedspruit_A,2025-2026,2,B2,6,21,2026-05-03,TM_01,218.49,13.14,1.3,88.23,4.08,5.0,154.88,259.96
CIT-2020-0001,citrus,Hoedspruit_A,2025-2026,3,B2,3,14,2026-05-25,TM_02,207.89,10.85,0.91,103.58,3.38,9.0,143.96,263.81
CIT-2020-0002,citrus,Hoedspruit_A,2025-2026,1,B3,5,15,2026-06-08,TM_01,170.57,12.8,1.62,73.67,4.45,1.0,132.73,243.39
CIT-2020-0002,citrus,Hoedspruit_A,2025-2026,2,B2,12,24,2026-06-03,KM_01,170.03,10.92,1.13,94.0,4.96,11.0,112.83,270.33
CIT-2020-0002,citrus,Hoedspruit_A,2025-2026,3,B2,8,11,2026-05-06,TM_02,179.11,12.09,0.99,60.38,,11.0,74.19,256.6
CIT-2020-0003,citrus,Hoedspruit_A,2025-2026,1,B3,3,10,2026-06-07,TM_01,166.01,11.69,0.83,76.04,6.19,6.0,121.57,272.43
CIT-2020-0003,citrus,Hoedspruit_A,2025-2026,3,B1,9,10,2026-05-19,KM_01,151.06,9.33,0.7,89.99,5.04,9.0,112.78,233.11
CIT-2020-0004,citrus,Hoedspruit_A,2025-2026,1,B3,7,16,2026-05-11,KM_01,210.92,11.7,0.82,62.3,3.67,3.0,113.75,259.58
CIT-2020-0004,citrus,Hoedspruit_A,2025-2026,2,B3,9,17,2026-06-09,TM_01,183.55,11.27,0.85,85.79,3.49,2.0,131.09,243.87
CIT-2020-0004,citrus,Hoedspruit_A,2025-2026,3,B2,12,5,2026-05-08,KM_01,146.77,11.35,1.02,70.06,2.57,9.0,118.88,227.88
CIT-2020-0005,citrus,Hoedspruit_A,2025-2026,1,B3,14,3,2026-05-24,KM_01,206.72,10.99,0.94,113.11,5.12,10.0,109.45,241.0
CIT-2020-0005,citrus,Hoedspruit_A,2025-2026,2,B3,13,11,2026-05-24,TM_02,169.25,11.53,0.91,103.69,5.0,8.0,111.1,236.68
CIT-2020-0005,citrus,Hoedspruit_A,2025-2026,3,B2,2,16,2026-05-25,TM_02,153.23,12.29,0.99,8.64,5.0,14.0,114.89,227.75
CIT-2020-0006,citrus,Hoedspruit_A,2025-2026,1,B2,5,23,2026-05-07,TM_01,191.61,11.8,1.68,81.68,5.4,10.0,107.14,243.96
CIT-2020-0006,citrus,Hoedspruit_A,2025-2026,2,B3,2,2,2026-05-20,TM_01,185.72,12.5,1.58,83.08,5.47,5.0,108.09,273.77
CIT-2020-0006,citrus,Hoedspruit_A,2025-2026,3,B2,12,9,2026-05-31,TM_01,192.92,11.94,1.43,90.38,3.37,0.0,97.3,265.33
