genotype_id,crop,site,season,rep,block,row,tree_position,evaluation_date,evaluator,fruit_weight_g,brix_content,acidity_percent,juice_content_ml,rind_thickness_mm,seed_count,yield_kg_per_tree,days_to_maturity
CIT-2018-0001,citrus,Hoedspruit_A,2024-2025,1,B3,12,13,2025-05-03,KM_01,130.18,9.66,2.36,74.36,3.96,13.0,133.78,271.69
CIT-2018-0001,citrus,Hoedspruit_A,2024-2025,2,B2,8,24,2025-05-04,TM_01,178.17,13.13,1.46,105.37,4.93,13.0,124.62,249.11
CIT-2018-0001,citrus,Hoedspruit_A,2024-2025,3,B2,6,8,2025-05-17,TM_02,196.06,9.9,1.75,82.12,5.06,7.0,122.55,231.06
CIT-2018-0002,citrus,Hoedspruit_A,2024-2025,1,B1,3,23,2025-05-12,KM_01,195.52,10.14,1.23,85.02,4.78,6.0,131.12,233.38
CIT-2018-0002,citrus,Hoedspruit_A,2024-2025,2,B3,4,1,2025-05-07,TM_02,186.35,11.43,1.2,93.47,4.33,,149.36,
CIT-2018-0002,citrus,Hoedspruit_A,2024-2025,3,B2,14,12,2025-05-28,TM_01,162.56,13.26,0.83,67.19,5.99,5.0,122.59,237.83
CIT-2018-0003,citrus,Hoedspruit_A,2024-2025,1,B1,6,15,2025-05-08,KM_01,227.31,11.87,1.2,90.58,4.02,11.0,140.75,266.61
CIT-2018-0003,citrus,Hoedspruit_A,2024-2025,2,B1,13,4,2025-06-11,KM_01,213.39,10.67,0.88,77.62,4.87,6.0,135.48,233.86
CIT-2018-0003,citrus,Hoedspruit_A,2024-2025,3,B1,6,20,2025-06-08,KM_01,190.26,9.38,0.96,89.53,3.97,11.0,127.44,238.09
CIT-2018-0004,citrus,Hoedspruit_A,2024-2025,1,B1,2,19,2025-05-03,KM_01,192.25,11.01,1.79,104.3,5.03,6.0,115.88,244.43
CIT-2018-0004,citrus,Hoedspruit_A,2024-2025,2,B2,13,11,2025-05-30,KM_01,197.66,12.12,0.95,108.7,4.25,13.0,111.68,233.16
CIT-2018-0004,citrus,Hoedspruit_A,2024-2025,3,B1,10,7,2025-05-26,TM_01,214.35,12.06,1.18,116.08,5.27,6.0,68.8,226.16
CIT-2018-0005,citrus,Hoedspruit_A,2024-2025,1,B2,5,23,2025-05-14,KM_01,191.66,9.37,0.82,96.9,12.8,9.0,140.52,247.61
CIT-2018-0005,citrus,Hoedspruit_A,2024-2025,2,B2,13,8,2025-06-05,TM_01,191.4,9.71,1.11,62.23,4.55,13.0,158.58,248.46
CIT-2018-0005,citrus,Hoedspruit_A,2024-2025,3,B2,2,12,2025-06-01,KM_01,230.91,,0.98,76.63,6.44,16.0,148.11,236.43
CIT-2018-0006,citrus,Hoedspruit_A,2024-2025,1,B3,7,19,2025-05-24,TM_01,233.64,11.08,,91.98,4.99,4.0,123.94,236.3
CIT-2018-0006,citrus,Hoedspruit_A,2024-2025,2,B3,13,8,2025-05-22,KM_01,193.97,9.57,1.56,100.09,2.94,6.0,114.44,249.46
CIT-2018-0006,citrus,Hoedspruit_A,2024-2025,3,B2,4,18,2025-05-12,KM_01,224.41,10.62,1.75,91.4,3.88,8.0,120.89,208.55
CIT-2018-0007,citrus,Hoedspruit_A,2024-2025,1,B3,7,6,2025-05-15,TM_02,239.52,9.93,0.96,76.81,3.76,14.0,112.55,226.26
CIT-2018-0007,citrus,Hoedspruit_A,2024-2025,2,B2,10,7,2025-05-31,KM_01,205.26,9.62,1.6,78.86,4.64,11.0,141.04,200.48
CIT-2018-0007,citrus,Hoedspruit_A,2024-2025,3,B1,11,11,2025-05-31,KM_01,213.93,9.91,1.96,80.84,4.0,14.0,124.07,245.59
CIT-2018-0008,citrus,Hoedspruit_A,2024-2025,1,B1,3,12,2025-05-25,TM_01,165.47,10.61,1.63,76.5,4.29,4.0,,255.8
CIT-2018-0008,citrus,Hoedspruit_A,2024-2025,2,B3,11,4,2025-05-27,TM_02,166.3,10.21,1.12,99.68,4.65,6.0,100.16,252.67
CIT-2018-0008,citrus,Hoedspruit_A,2024-2025,3,B1,9,19,2025-06-02,TM_01,152.77,6.74,1.07,96.9,4.42,1.0,124.1,239.43
CIT-2018-0009,citrus,Hoedspruit_A,2024-2025,1,B1,9,6,2025-05-09,TM_01,151.81,13.36,1.54,184.69,5.41,10.0,116.93,247.82
CIT-2018-0009,citrus,Hoedspruit_A,2024-2025,2,B1,10,17,2025-06-08,TM_01,156.46,13.15,0.63,86.21,2.92,,95.03,271.47
CIT-2018-0009,citrus,Hoedspruit_A,2024-2025,3,B3,3,13,2025-06-09,TM_02,162.24,11.8,1.36,72.48,4.9,7.0,120.39,261.3
CIT-2018-0010,citrus,Hoedspruit_A,2024-2025,1,B2,11,16,2025-05-16,TM_02,170.55,13.22,1.54,66.29,4.95,9.0,116.72,236.74
CIT-2018-0010,citrus,Hoedspruit_A,2024-2025,2,B1,9,17,2025-06-07,TM_01,163.79,13.23,1.71,68.8,4.31,9.0,136.04,247.59
CIT-2018-0010,citrus,Hoedspruit_A,2024-2025,3,B2,7,17,2025-06-09,TM_02,172.41,14.31,1.17,,4.3,13.0,120.21,231.69
